//DA_AA_BA_MB_FS_SS_SA_MD_RW_Constant_Data
0000_0000_0000_0_0000_000_0000_1_1_0000000000000000_1000000000000000   // reg0  set value
0001_0000_0000_0_0000_000_0000_1_1_0000000000000000_0100000000000001   // reg1  set value
0010_0000_0000_0_0000_000_0000_1_1_0000000000000000_0110000000000010   // reg2  set value
0011_0000_0000_0_0000_000_0000_1_1_0000000000000000_1111000000000011   // reg3  set value
0100_0000_0000_0_0000_000_0000_1_1_0000000000000000_0000000010000100   // reg4  set value
0101_0000_0000_0_0000_000_0000_1_1_0000000000000000_0000011000000101   // reg5  set value
0110_0000_0000_0_0000_000_0000_1_1_0000000000000000_0000000110000110   // reg6  set value
0111_0000_0000_0_0000_000_0000_1_1_0000000000000000_0000110000000111   // reg7  set value
1000_0000_0000_0_0000_000_0000_1_1_0000000000000000_0000001100001000   // reg8  set value
1001_0000_0000_0_0000_000_0000_1_1_0000000000000000_0000000000001001   // reg9  set value
1010_0000_0000_0_0000_000_0000_1_1_0000000000000000_0001110000001010   // reg10 set value
1011_0000_0000_0_0000_000_0000_1_1_0000000000000000_0000001100001011   // reg11 set value
1100_0000_0000_0_0000_000_0000_1_1_0000000000000000_0000011100001100   // reg12 set value
1101_0000_0000_0_0000_000_0000_1_1_0000000000000000_0000110000001101   // reg13 set value
1110_0000_0000_0_0000_000_0000_1_1_0000000000000000_0000011000001110   // reg14 set value
1111_0000_0000_0_0000_000_0000_1_1_0000000000000000_0011000000001111   // reg15 set value
0011_0100_0011_0_0011_000_0000_0_1_0000000000000000_0000000000000000   // R3 = R4+R5+1
0100_0101_0110_0_0100_000_0000_0_1_0000000000000000_0000000000000000   // R4 = R5 + ~R6 +1
0101_0110_0111_0_0101_000_0000_0_1_0000000000000000_0000000000000000   // R5 = R6 - R7
0110_0111_1000_0_0110_000_0000_0_1_0000000000000000_0000000000000000   // R6 = R7 - 1
0111_1000_1001_0_0111_000_0000_0_1_0000000000000000_0000000000000000   // R7 = R8
1000_1001_1010_0_1000_000_0000_0_1_0000000000000000_0000000000000000   // R8 = R9 & R10
1001_1010_1011_0_1001_000_0000_0_1_0000000000000000_0000000000000000   // R9 = R10 | R11
1010_1011_1100_0_1010_000_0000_0_1_0000000000000000_0000000000000000   // R10 = R11 xor R12
1011_1100_1101_0_1011_000_0000_0_1_0000000000000000_0000000000000000   // R11 = ~R12
1100_1101_1110_0_1100_000_0010_0_1_0000000000000000_0000000000000000   // R12 = R14 >> 2
1101_1110_1111_0_1100_001_0100_0_1_0000000000000000_0000000000000000   // R13 = R15 << 4
1110_1111_0000_0_1100_010_1000_0_1_0000000000000000_0000000000000000   // R14 = R0 >> 8  (rotate)
1111_0000_0001_0_1100_011_1010_0_1_0000000000000000_0000000000000000   // R15 = R1 << 10 (rotate)
0001_0010_0011_0_0101_000_0000_0_1_0000000000000000_0000000000000000   // R1<-R2+(~R3)+1
0100_0000_0110_0_1100_000_0001_0_1_0000000000000000_0000000000000000   // R4<-R6 << 1
0111_0111_0000_0_0001_000_0000_0_1_0000000000000000_0000000000000000   // R7<-R7+1
0000_0000_0011_0_0000_000_0000_0_0_0000000000000000_0000000000000000   // DATA OUT<-R3
0100_0000_0000_0_0000_000_0000_1_1_0000000000000000_0000000000000001   // R4<-1
0101_0000_0000_0_1010_000_0000_0_1_0000000000000000_0000000000000000   // R5<-R0^R0
0110_0011_0000_0_0000_000_0000_0_1_0000000000000000_0000000000000000   // R6<-R3
1100_0101_0000_0_0001_000_0000_0_1_0000000000000000_0000000000000000   // R12<-R5+1
0101_0011_1100_0_0010_000_0000_0_1_0000000000000000_0000000000000000   // R5<-R3+R12
0101_0101_0100_0_0011_000_0000_0_1_0000000000000000_0000000000000000   // R5<-R5+R4+1
0101_0001_0110_0_0100_000_0000_0_1_0000000000000000_0000000000000000   // R5<-R1+(~R6)
0110_0000_0000_0_0000_000_0000_1_1_0000000000000000_0000000000000100   // R6<-4
1000_1000_0000_1_0010_000_0000_0_1_0000000000000011_0000000000000000   // R8<-R8+3
0111_0100_0000_1_0011_000_0000_0_1_0000000000000001_0000000000000000   // R7<-R4+1+1
0100_0000_0100_0_1100_000_0010_0_1_0000000000000000_0000000000000000   // R4<-R4 >> 2
